Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-hl7.at.fhir.gkl.ig-tooling.json	6331	-	0	0	0	0	0	0	3	12	0	0	0	0	0	0	0	1	0	0	74	42	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-AkteurHI.json	7192	6	0	20	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	241	481	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-CDAPatient.json	1534	3	0	8	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	83	305	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ErstdokumentationHI.json	21298	4	0	52	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	551	397	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-FolgedokumentationHI.json	23321	5	0	37	0	0	0	0	0	26	0	0	1	0	0	0	0	1	0	0	646	407	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-PatientHI.json	10331	6	0	18	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	298	251	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5753	6	0	12	4	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	167	233	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1563	6	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	66	168	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3890	4	0	11	2	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	206	280	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	26256	7	0	116	0	0	0	0	0	92	0	0	1	0	0	0	0	2	0	0	1618	1065	0	0	0	27	0	1
input/resources/ValueSet-v3-EntityCode.xml	3723	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	3413	0	0	0	1	0	0
