Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.gkl.ig-tooling.json	5114	-	0	0	0	0	0	0	19	142	0	0	1	0	0	0	0	3	0	0	5312	555	0	0	5	7	0	2
fsh-generated/resources/StructureDefinition-AkteurHI.json	7115	43	1	1	1	4	0	125	0	300	0	0	1	0	0	1	0	3	0	0	17676	8747	0	1	4	10	0	1
fsh-generated/resources/StructureDefinition-CDAPatient.json	1534	48	1	0	0	0	0	94	0	51	0	0	0	0	0	0	0	2	0	0	6739	3139	0	0	4	5	0	1
fsh-generated/resources/StructureDefinition-ErstdokumentationHI.json	21175	47	0	0	0	0	0	329	0	382	0	0	0	0	0	0	0	7	0	0	41665	5132	0	0	5	20	0	1
fsh-generated/resources/StructureDefinition-FolgedokumentationHI.json	23250	46	0	0	0	0	0	427	0	580	0	0	1	0	0	0	0	2	0	0	45817	6538	1	0	4	21	1	3
fsh-generated/resources/StructureDefinition-PatientHI.json	10893	39	2	0	0	0	0	125	0	478	0	0	0	0	0	0	0	1	0	0	21994	4715	0	0	3	12	0	1
fsh-generated/resources/StructureDefinition-at-core-address.json	5753	72	14	0	0	0	0	135	1	177	0	0	1	0	0	0	0	1	0	0	11216	4349	0	0	3	7	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1563	51	1	0	1	0	0	51	0	42	0	0	0	0	0	0	0	0	0	0	4253	2823	0	0	4	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3890	36	11	0	0	0	0	116	0	398	0	0	1	0	0	0	0	1	0	0	17159	4990	0	0	4	9	0	0
fsh-generated/resources/StructureDefinition-at-core-patient.json	26256	24	1	0	0	0	0	519	0	1560	0	0	1	0	0	0	0	12	0	0	165523	13789	0	1	4	80	0	4
